year,genre,rating,users_rating,votes,languages,runtime
1,1.0,1.0,6.5,120,1,100.0
1,2.0,2.0,6.4,8,1,80.0
1,3.0,1.0,5.4,17,1,92.0
1,4.0,1.0,9.1,27,1,129.0
1,5.0,2.0,7.6,33,1,109.0
1,1.0,1.0,6.2,21,2,90.0
1,3.0,2.0,6.1,7,1,85.0
1,3.0,2.0,5.9,67,1,109.0
1,5.0,1.0,8.5,54,1,117.0
1,3.0,2.0,6.3,150,1,110.0
1,5.0,1.0,6.1,239,1,102.0
1,5.0,1.0,7.5,678,1,121.0
1,5.0,1.0,6.9,15,1,94.0
1,3.0,2.0,6.4,9,1,95.0
1,5.0,1.0,7.2,82,1,93.0
1,7.0,3.0,6.2,10,1,95.0
1,6.0,1.0,6.3,71,1,98.0
2,3.0,2.0,5.3,47,1,91.0
2,5.0,2.0,8.2,280,1,112.0
2,5.0,3.0,8.0,13,1,106.0
2,6.0,1.0,5.9,39,1,86.0
2,5.0,1.0,7.8,48,1,107.0
2,5.0,1.0,7.1,34,1,93.0
2,5.0,1.0,7.8,16,1,118.0
2,5.0,1.0,4.7,11,1,97.0
2,6.0,1.0,8.8,23,1,103.0
2,5.0,2.0,7.2,98,1,108.0
2,3.0,2.0,6.2,5,1,75.0
2,6.0,1.0,7.3,358,1,119.0
2,6.0,1.0,7.2,9,1,95.0
2,6.0,1.0,6.0,33,1,94.0
2,5.0,1.0,7.3,9,1,103.0
2,6.0,1.0,7.0,43,1,96.0
2,3.0,1.0,4.7,102,1,90.0
2,8.0,2.0,7.2,17,1,83.0
2,3.0,2.0,6.4,146,1,91.0
2,5.0,1.0,6.6,724,1,121.0
2,5.0,3.0,7.8,39,1,99.0
2,4.0,2.0,5.3,390,1,97.0
2,5.0,1.0,8.0,763,1,113.0
2,5.0,1.0,6.2,27,1,102.0
2,6.0,1.0,6.8,261,1,97.0
2,8.0,4.0,6.5,"3,112",1,123.0
2,1.0,1.0,7.0,133,1,121.0
2,5.0,1.0,5.0,147,1,101.0
2,8.0,2.0,6.2,157,1,114.0
2,6.0,1.0,9.4,16,1,109.0
2,3.0,2.0,5.8,43,1,90.0
2,6.0,1.0,7.8,624,1,113.0
2,5.0,2.0,6.9,"1,877",1,106.0
2,5.0,3.0,6.6,8,1,101.0
2,3.0,2.0,6.5,35,1,119.0
2,3.0,2.0,4.5,6,1,76.0
2,6.0,1.0,6.6,23,1,110.0
2,3.0,1.0,4.5,6,1,75.0
2,3.0,2.0,5.0,10,1,84.0
2,6.0,1.0,5.8,19,1,92.0
2,5.0,3.0,6.8,9,1,91.0
2,5.0,1.0,8.4,5,1,123.0
2,3.0,1.0,4.8,73,1,100.0
2,6.0,3.0,5.9,14,1,108.0
2,5.0,1.0,6.7,53,1,95.0
2,6.0,1.0,7.4,57,1,97.0
2,3.0,2.0,7.8,5,1,75.0
2,6.0,1.0,6.0,125,1,86.0
2,5.0,2.0,7.0,372,1,92.0
2,3.0,2.0,6.5,11,1,90.0
2,6.0,1.0,5.9,78,1,96.0
2,3.0,2.0,4.3,127,1,95.0
2,5.0,1.0,7.1,121,1,102.0
2,5.0,2.0,5.5,385,1,116.0
2,3.0,2.0,6.9,57,1,85.0
2,6.0,1.0,7.5,49,1,96.0
2,6.0,1.0,7.3,35,1,93.0
2,5.0,1.0,7.0,28,1,92.0
2,6.0,1.0,6.1,22,1,92.0
2,4.0,1.0,6.6,305,1,96.0
2,3.0,1.0,5.0,5,1,100.0
2,6.0,1.0,6.4,431,1,96.0
2,6.0,1.0,5.5,24,1,96.0
2,6.0,1.0,7.2,36,1,101.0
2,3.0,2.0,5.3,22,1,80.0
2,4.0,1.0,5.9,84,1,90.0
2,5.0,1.0,8.1,25,1,96.0
2,6.0,1.0,7.0,117,1,94.0
2,6.0,1.0,6.8,373,1,100.0
2,3.0,2.0,6.8,531,1,99.0
2,5.0,1.0,5.9,12,1,93.0
2,3.0,2.0,4.9,9,1,80.0
2,3.0,2.0,6.5,22,1,90.0
2,3.0,2.0,2.0,61,1,86.0
2,5.0,2.0,5.1,37,1,102.0
2,5.0,3.0,7.8,13,1,96.0
2,6.0,1.0,7.5,37,1,104.0
2,5.0,3.0,5.7,9,1,94.0
2,3.0,2.0,6.3,27,1,94.0
2,5.0,1.0,7.3,11,1,106.0
2,3.0,2.0,6.3,42,1,89.0
2,5.0,1.0,8.1,11,1,94.0
2,5.0,1.0,7.0,148,1,95.0
2,3.0,2.0,5.6,42,1,116.0
2,5.0,1.0,7.8,53,1,100.0
2,6.0,1.0,7.2,75,1,128.0
2,1.0,1.0,7.5,141,1,96.0
2,3.0,2.0,5.6,19,1,96.0
2,3.0,2.0,5.2,19,1,90.0
